id;code;question;example;selections
1;as;fat;../fake-data/blob/hipster.txt;bloodflow scarily psst
2;slide prime;phew millimeter reliability;../fake-data/blob/hipster.txt;gadzooks
3;failing;upward upward times;../fake-data/blob/hipster.txt;for fooey
4;whereas bolt tame;fillet;../fake-data/blob/hipster.txt;happy-go-lucky willfully
5;mime excited perfume;yuck geez;../fake-data/blob/hipster.txt;cloudburst slowly
6;centralize;as;../fake-data/blob/hipster.txt;kindly
7;gosh knottily;squander repeat once;../fake-data/blob/hipster.txt;content though notwithstanding
8;anenst;unto;../fake-data/blob/hipster.txt;duh duh
9;yahoo baggy;harness of;../fake-data/blob/hipster.txt;prudent
10;phooey;boo;../fake-data/blob/hipster.txt;astride that
